"TS","N","MBYTES"
"2013-08-05 10:00:00",24,18218.24
"2013-08-05 11:00:00",24,18614.38
"2013-08-05 12:00:00",16,12009.81
"2013-08-05 13:00:00",8,5669.54
"2013-08-05 14:00:00",4,2358.57
"2013-08-05 15:00:00",4,2403.71
"2013-08-05 16:00:00",6,4094.12
"2013-08-05 17:00:00",7,4846.11
"2013-08-05 18:00:00",4,2039.64
"2013-08-05 19:00:00",8,6419.5
"2013-08-05 20:00:00",19,14279.2
"2013-08-05 21:00:00",4,1700.77
"2013-08-05 22:00:00",4,1253.12
"2013-08-05 23:00:00",11,7822.31
"2013-08-06 00:00:00",15,11221.02
"2013-08-06 01:00:00",17,12728.12
"2013-08-06 02:00:00",14,10475.15
"2013-08-06 03:00:00",28,21253.43
"2013-08-06 04:00:00",25,18793.96
"2013-08-06 05:00:00",8,5983.6
"2013-08-06 06:00:00",13,9952.76
"2013-08-06 07:00:00",73,64245.24
"2013-08-06 08:00:00",11,8303.43
"2013-08-06 09:00:00",28,22165.05
"2013-08-06 10:00:00",5,3255.82
"2013-08-06 11:00:00",20,15093.26
"2013-08-06 12:00:00",4,2333.79
"2013-08-06 13:00:00",4,2099.26
"2013-08-06 14:00:00",17,12354.18
"2013-08-06 15:00:00",8,5763.7
"2013-08-06 16:00:00",9,6624.31
"2013-08-06 17:00:00",6,3977.57
"2013-08-06 18:00:00",4,1579.68
"2013-08-06 19:00:00",8,5426.77
"2013-08-06 20:00:00",19,14790.75
"2013-08-06 21:00:00",4,1291.21
"2013-08-06 22:00:00",4,1245.92
"2013-08-06 23:00:00",12,9033.49
"2013-08-07 00:00:00",15,11218.23
"2013-08-07 01:00:00",20,15049.26
"2013-08-07 02:00:00",16,11982.81
"2013-08-07 03:00:00",18,13509.33
"2013-08-07 04:00:00",23,17300.05
"2013-08-07 05:00:00",10,7490.67
"2013-08-07 06:00:00",16,12674.77
"2013-08-07 07:00:00",77,66519.42
"2013-08-07 08:00:00",7,5229.74
"2013-08-07 09:00:00",29,22528.22
"2013-08-07 10:00:00",7,5042.93
"2013-08-07 11:00:00",12,9128.43
"2013-08-07 12:00:00",5,3485.13
"2013-08-07 13:00:00",4,2064.33
"2013-08-07 14:00:00",5,2920.27
"2013-08-07 15:00:00",9,6763.03
"2013-08-07 16:00:00",15,11439.22
"2013-08-07 17:00:00",4,2367.46
"2013-08-07 18:00:00",4,1581.7
"2013-08-07 19:00:00",10,7160.57
"2013-08-07 20:00:00",16,11605.13
"2013-08-07 21:00:00",4,1172.83
"2013-08-07 22:00:00",4,1621.96
"2013-08-07 23:00:00",11,7755.86
"2013-08-08 00:00:00",15,11242.52
"2013-08-08 01:00:00",16,12010.38
"2013-08-08 02:00:00",18,13494.94
"2013-08-08 03:00:00",12,8983.09
"2013-08-08 04:00:00",15,10962.8
"2013-08-08 05:00:00",8,6015.21
"2013-08-08 06:00:00",15,11359.02
"2013-08-08 07:00:00",78,67785.49
"2013-08-08 08:00:00",11,8750.52
"2013-08-08 09:00:00",24,18590.82
"2013-08-08 10:00:00",13,9840.16
"2013-08-08 11:00:00",17,12822.4
"2013-08-08 12:00:00",7,4878.34
"2013-08-08 13:00:00",6,3887.55
"2013-08-08 14:00:00",5,3129.74
"2013-08-08 15:00:00",11,8006.25
"2013-08-08 16:00:00",21,16224.3
"2013-08-08 17:00:00",16,12981.32
"2013-08-08 18:00:00",6,3302.4
"2013-08-08 19:00:00",7,4942.66
"2013-08-08 20:00:00",17,12661.75
"2013-08-08 21:00:00",7,3649.72
"2013-08-08 22:00:00",4,1516.72
"2013-08-08 23:00:00",11,7977.88
"2013-08-09 00:00:00",17,12751.06
"2013-08-09 01:00:00",16,11985
"2013-08-09 02:00:00",10,7222.47
"2013-08-09 03:00:00",10,6332.43
"2013-08-09 04:00:00",19,14291.4
"2013-08-09 05:00:00",5,3496.99
"2013-08-09 06:00:00",14,11129.58
"2013-08-09 07:00:00",76,66764.61
"2013-08-09 08:00:00",21,16362.37
"2013-08-09 09:00:00",33,27138.23
"2013-08-09 10:00:00",42,34325.26
"2013-08-09 11:00:00",22,16432.76
"2013-08-09 12:00:00",58,46156.32
"2013-08-09 13:00:00",21,16450.47
"2013-08-09 14:00:00",19,14568.9
"2013-08-09 15:00:00",16,12455.01
"2013-08-09 16:00:00",20,15709.71
"2013-08-09 17:00:00",7,5004.33
"2013-08-09 18:00:00",4,1510.12
"2013-08-09 19:00:00",9,5636.52
"2013-08-09 20:00:00",18,13164.26
"2013-08-09 21:00:00",4,970.52
"2013-08-09 22:00:00",4,1007.34
"2013-08-09 23:00:00",11,7749.2
"2013-08-10 00:00:00",18,13502.74
"2013-08-10 01:00:00",16,11979.64
"2013-08-10 02:00:00",13,9719.65
"2013-08-10 03:00:00",14,10483.61
"2013-08-10 04:00:00",17,12734.25
"2013-08-10 05:00:00",22,16532.87
"2013-08-10 06:00:00",17,13480.23
"2013-08-10 07:00:00",70,58933.56
"2013-08-10 08:00:00",8,5980.48
"2013-08-10 09:00:00",5,3697.69
"2013-08-10 10:00:00",7,4906.73
"2013-08-10 11:00:00",14,10772.32
"2013-08-10 12:00:00",4,2013.9
"2013-08-10 13:00:00",6,3815.44
"2013-08-10 14:00:00",13,8806.57
"2013-08-10 15:00:00",4,1899.71
"2013-08-10 16:00:00",10,7474
"2013-08-10 17:00:00",21,15951.97
"2013-08-10 18:00:00",42,31935.96
"2013-08-10 19:00:00",8,5825.9
"2013-08-10 20:00:00",13,9023.18
"2013-08-10 21:00:00",4,1175.21
"2013-08-10 22:00:00",4,946.21
"2013-08-10 23:00:00",10,6868.05
"2013-08-11 00:00:00",18,13551.42
"2013-08-11 01:00:00",19,14290.14
"2013-08-11 02:00:00",16,12033.09
"2013-08-11 03:00:00",15,11244
"2013-08-11 04:00:00",13,8263.89
"2013-08-11 05:00:00",10,7112.62
"2013-08-11 06:00:00",46,35196.94
"2013-08-11 07:00:00",76,63221.48
"2013-08-11 08:00:00",7,5193.24
"2013-08-11 09:00:00",5,3465.88
"2013-08-11 10:00:00",4,2554.5
"2013-08-11 11:00:00",15,11333.01
"2013-08-11 12:00:00",6,3787.92
"2013-08-11 13:00:00",16,11763.36
"2013-08-11 14:00:00",4,1824.81
"2013-08-11 15:00:00",4,2034.95
"2013-08-11 16:00:00",4,1314.89
"2013-08-11 17:00:00",12,8408.49
"2013-08-11 18:00:00",7,4054.98
"2013-08-11 19:00:00",10,7490.08
"2013-08-11 20:00:00",19,13656.11
"2013-08-11 21:00:00",4,978.39
"2013-08-11 22:00:00",4,642.93
"2013-08-11 23:00:00",24,17681.09
"2013-08-12 00:00:00",27,20594.54
"2013-08-12 01:00:00",16,11989.13
"2013-08-12 02:00:00",15,11230.4
"2013-08-12 03:00:00",21,15857.82
"2013-08-12 04:00:00",14,10505.96
"2013-08-12 05:00:00",15,11270.68
"2013-08-12 06:00:00",22,16590.65
"2013-08-12 07:00:00",70,58500.54
"2013-08-12 08:00:00",25,18889.7
"2013-08-12 09:00:00",59,46572.13
"2013-08-12 10:00:00",21,16361.11
"2013-08-12 11:00:00",14,10827.09
"2013-08-12 12:00:00",7,3856.96
"2013-08-12 13:00:00",11,8312.21
"2013-08-12 14:00:00",4,2337.6
"2013-08-12 15:00:00",9,6498.58
"2013-08-12 16:00:00",5,3505.59
"2013-08-12 17:00:00",6,4171.46
"2013-08-12 18:00:00",4,1999.6
"2013-08-12 19:00:00",14,10179.67
"2013-08-12 20:00:00",21,15369.04
"2013-08-12 21:00:00",4,1550.15
"2013-08-12 22:00:00",4,1354.48
"2013-08-12 23:00:00",12,8524.29
"2013-08-13 00:00:00",16,12000.13
"2013-08-13 01:00:00",18,13498.92
"2013-08-13 02:00:00",14,10461.89
"2013-08-13 03:00:00",13,9726.36
"2013-08-13 04:00:00",23,17283.23
"2013-08-13 05:00:00",6,4505.28
"2013-08-13 06:00:00",12,9588.35
"2013-08-13 07:00:00",79,68932.86
"2013-08-13 08:00:00",10,7563.74
"2013-08-13 09:00:00",27,20969.31
"2013-08-13 10:00:00",4,2313.02
"2013-08-13 11:00:00",13,9436.89
"2013-08-13 12:00:00",13,9509.92
"2013-08-13 13:00:00",11,8062.86
"2013-08-13 14:00:00",15,10855.78
"2013-08-13 15:00:00",6,4043.84
"2013-08-13 16:00:00",6,3453.69
"2013-08-13 17:00:00",7,5185.73
"2013-08-13 18:00:00",4,2160.37
"2013-08-13 19:00:00",7,4777.5
"2013-08-13 20:00:00",21,15253.96
"2013-08-13 21:00:00",6,3614.14
"2013-08-13 22:00:00",4,1134.29
"2013-08-13 23:00:00",9,6266.35
"2013-08-14 00:00:00",14,10492.2
"2013-08-14 01:00:00",15,11237.8
"2013-08-14 02:00:00",15,11239.18
