"TS","WAIT_CLASS","EVENT","READ_OR_WRITE","BLOCKING_SESSION","MACHINE","MODULE","IN_STAGE","SQL_ID","N"
"2013-09-01 07:21:00","Concurrency","library cache: mutex X","READ","","app1-host","EMPTY","CURSOR CLOSE","",24
"2013-09-01 07:20:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","",1380
"2013-09-01 07:20:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","1a18fvzdc8b4j",24
"2013-09-01 07:19:00","Concurrency","library cache: mutex X","READ","","app12-host","EMPTY","NONE","",12
"2013-09-01 07:18:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","",1185
"2013-09-01 07:18:00","Concurrency","library cache: mutex X","READ","5819:17159","db-server","EMPTY","NONE","",6
"2013-09-01 07:16:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","1a18fvzdc8b4j",24
"2013-09-01 07:16:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","CURSOR CLOSE","",6
"2013-09-01 07:15:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","hrq46vk39s57g",6
"2013-09-01 07:14:00","Concurrency","library cache: mutex X","READ","","app12-host","EMPTY","NONE","",12
"2013-09-01 07:13:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","",1155
"2013-09-01 07:12:00","Concurrency","library cache: mutex X","READ","","app1-host","EMPTY","NONE","",186
"2013-09-01 07:12:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","1a18fvzdc8b4j",24
"2013-09-01 07:11:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","",1170
"2013-09-01 07:11:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","hrq46vk39s57g",6
"2013-09-01 07:11:00","Concurrency","library cache: mutex X","READ","","app12-host","EMPTY","NONE","",12
"2013-09-01 07:11:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","CURSOR CLOSE","",6
"2013-09-01 07:10:00","Concurrency","library cache: mutex X","READ","","app1-host","EMPTY","CURSOR CLOSE","",12
"2013-09-01 07:10:00","Concurrency","library cache: mutex X","READ","","app12-host","EMPTY","NONE","",12
"2013-09-01 07:09:00","Concurrency","library cache: mutex X","READ","","app1-host","EMPTY","NONE","",186
"2013-09-01 07:09:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","vbr7dqxrcqr8u",72
"2013-09-01 07:07:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","",1213
"2013-09-01 07:07:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","vbr7dqxrcqr8u",72
"2013-09-01 07:05:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","1a18fvzdc8b4j",23
"2013-09-01 07:05:00","Concurrency","library cache: mutex X","READ","","app1-host","EMPTY","NONE","",78
"2013-09-01 07:05:00","Concurrency","library cache: mutex X","READ","","app1-host","EMPTY","CURSOR CLOSE","",12
"2013-09-01 07:04:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","vbr7dqxrcqr8u",72
"2013-09-01 07:02:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","",1246
"2013-09-01 07:02:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","7kqka5vushrtt",6
"2013-09-01 07:01:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","1a18fvzdc8b4j",10
"2013-09-01 07:01:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","7kqka5vushrtt",5
"2013-09-01 07:00:00","Concurrency","library cache: mutex X","READ","","app1-host","EMPTY","NONE","",78
"2013-09-01 07:00:00","Concurrency","library cache: mutex X","READ","","app1-host","EMPTY","CURSOR CLOSE","",12
"2013-09-01 06:59:00","Concurrency","library cache: mutex X","READ","","app1-host","EMPTY","NONE","",39
"2013-09-01 06:58:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","1a18fvzdc8b4j",12
"2013-09-01 06:57:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","hrq46vk39s57g",6
"2013-09-01 06:56:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","7kqka5vushrtt",6
"2013-09-01 06:56:00","Concurrency","library cache: mutex X","READ","","app1-host","EMPTY","NONE","",18
"2013-09-01 06:55:00","Concurrency","library cache: mutex X","READ","5819:17159","db-server","EMPTY","NONE","",6
"2013-09-01 06:54:00","Concurrency","library cache: mutex X","READ","","app1-host","EMPTY","NONE","",18
"2013-09-01 06:53:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","",976
